,Unnamed: 0,Unnamed: 0.1,Location,Job Salary,Skills,Countword,lon,lat,Numbers,FIPS
10,10,10,"Fort Campbell, KY",[99500.0],['dynamic health service arma ha data scientist dynamic health solution arma meet candidate'],"{'dynamic': 2, 'health': 2, 'service': 1, 'arma': 2, 'ha': 1, 'data': 1, 'scientist': 1, 'solution': 1, 'meet': 1, 'candidate': 1}",-87.47739020000002,36.6634467,4,21047
11,11,11,"Davis, CA","[101000.0, []]","['fgi data analytics team data scientist support development bioinformatics pipeline database novel algorithm data', 'research scientist time job davis formulation update team regular project meeting']","{'fgi': 1, 'data': 3, 'analytics': 1, 'team': 2, 'scientist': 2, 'support': 1, 'development': 1, 'bioinformatics': 1, 'pipeline': 1, 'database': 1, 'novel': 1, 'algorithm': 1, 'research': 1, 'time': 1, 'job': 1, 'davis': 1, 'formulation': 1, 'update': 1, 'regular': 1, 'project': 1, 'meeting': 1}",-121.7405167,38.5449065,5,06113
12,12,12,"Boca Raton, FL","[125000.0, 119000.0, 77500.0]","['data hadoop teradata data architect data strategist data scientist caliber position experience data using sql hadoop', 'mentor team data analytics help ingrain insight client culture create visualization data insight create', 'offer competitive salary comprehensive benefit package includes health dental plan voluntary short term term disability life']","{'data': 7, 'hadoop': 2, 'teradata': 1, 'architect': 1, 'strategist': 1, 'scientist': 1, 'caliber': 1, 'position': 1, 'experience': 1, 'using': 1, 'sql': 1, 'mentor': 1, 'team': 1, 'analytics': 1, 'help': 1, 'ingrain': 1, 'insight': 2, 'client': 1, 'culture': 1, 'create': 2, 'visualization': 1, 'offer': 1, 'competitive': 1, 'salary': 1, 'comprehensive': 1, 'benefit': 1, 'package': 1, 'includes': 1, 'health': 1, 'dental': 1, 'plan': 1, 'voluntary': 1, 'short': 1, 'term': 2, 'disability': 1, 'life': 1}",-80.1289321,26.3683064,1,12099
13,13,13,"Morrisville, NC",[113000.0],['looking data scientist machine learning data mining statistical modeling predictive prescriptive enterprise analytics'],"{'looking': 1, 'data': 2, 'scientist': 1, 'machine': 1, 'learning': 1, 'mining': 1, 'statistical': 1, 'modeling': 1, 'predictive': 1, 'prescriptive': 1, 'enterprise': 1, 'analytics': 1}",-78.8255621,35.823483,1,37183
14,14,14,"Basking Ridge, NJ","[117000.0, 125000.0, 115000.0, 130000.0]","['data amp analytics team seek skilled data analytics professional including data structuring mining modeling visualization strong project', 'experience data analytics algorithm development scientific industrial data vencore lab formerly applied communication science', 'develop implement maintain predictive analytics model determines list device accessory selected forward stocking location', 'experience using data munging data engineering feature engineering software prepare data machine learning']","{'data': 8, 'amp': 1, 'analytics': 4, 'team': 1, 'seek': 1, 'skilled': 1, 'professional': 1, 'including': 1, 'structuring': 1, 'mining': 1, 'modeling': 1, 'visualization': 1, 'strong': 1, 'project': 1, 'experience': 2, 'algorithm': 1, 'development': 1, 'scientific': 1, 'industrial': 1, 'vencore': 1, 'lab': 1, 'formerly': 1, 'applied': 1, 'communication': 1, 'science': 1, 'develop': 1, 'implement': 1, 'maintain': 1, 'predictive': 1, 'model': 1, 'determines': 1, 'list': 1, 'device': 1, 'accessory': 1, 'selected': 1, 'forward': 1, 'stocking': 1, 'location': 1, 'using': 1, 'munging': 1, 'engineering': 2, 'feature': 1, 'software': 1, 'prepare': 1, 'machine': 1, 'learning': 1}",-74.54932840000002,40.7066174,18,34035
15,15,15,"Raleigh-Durham, NC",[111500.0],['shaker spearhead deep learning machine learning field employee selection'],"{'shaker': 1, 'spearhead': 1, 'deep': 1, 'learning': 2, 'machine': 1, 'field': 1, 'employee': 1, 'selection': 1}",-78.86364019999998,35.899167799999994,1,37063
16,16,16,"Draper, UT","[102500.0, 125000.0, 130000.0]","['ideal candidate data analyst data scientist advance product utilizing machine intelligence', 'primary focus applying data mining technique statistical analysis building quality prediction system integrated', 'feature engineering building optimizing classifier applying machine learning deep learning expertise']","{'ideal': 1, 'candidate': 1, 'data': 3, 'analyst': 1, 'scientist': 1, 'advance': 1, 'product': 1, 'utilizing': 1, 'machine': 2, 'intelligence': 1, 'primary': 1, 'focus': 1, 'applying': 2, 'mining': 1, 'technique': 1, 'statistical': 1, 'analysis': 1, 'building': 2, 'quality': 1, 'prediction': 1, 'system': 1, 'integrated': 1, 'feature': 1, 'engineering': 1, 'optimizing': 1, 'classifier': 1, 'learning': 2, 'deep': 1, 'expertise': 1}",-111.8638226,40.5246711,3,49035
17,17,17,"Adelaide, WA",[130000.0],['role require interact client collaborate qxbranch passionate team data scientist system engineer shaping data'],"{'role': 1, 'require': 1, 'interact': 1, 'client': 1, 'collaborate': 1, 'qxbranch': 1, 'passionate': 1, 'team': 1, 'data': 2, 'scientist': 1, 'system': 1, 'engineer': 1, 'shaping': 1}",-122.3604013,47.3309328,2,53033
18,18,18,"Foster City, CA",[120000.0],['scientific focus ha resulted marketed product benefiting hundred thousand people pipeline late stage drug candidate'],"{'scientific': 1, 'focus': 1, 'ha': 1, 'resulted': 1, 'marketed': 1, 'product': 1, 'benefiting': 1, 'hundred': 1, 'thousand': 1, 'people': 1, 'pipeline': 1, 'late': 1, 'stage': 1, 'drug': 1, 'candidate': 1}",-122.2710788,37.55854650000001,2,06081
19,19,19,"Joint Base Lewis McChord, WA",[104000.0],['dynamic health service arma ha data scientist dynamic health solution arma meet candidate'],"{'dynamic': 2, 'health': 2, 'service': 1, 'arma': 2, 'ha': 1, 'data': 1, 'scientist': 1, 'solution': 1, 'meet': 1, 'candidate': 1}",-122.4857321,47.1342432,1,53053
20,20,20,"Fort Belvoir, VA",[101000.0],['collaborate data scientist architect modeler team project goal develop data set process data modeling mining production'],"{'collaborate': 1, 'data': 3, 'scientist': 1, 'architect': 1, 'modeler': 1, 'team': 1, 'project': 1, 'goal': 1, 'develop': 1, 'set': 1, 'process': 1, 'modeling': 1, 'mining': 1, 'production': 1}",-77.15426839999998,38.71887160000001,1,51059
21,21,21,"Franklin, TN",[103500.0],['data scientist expertise machine learning statistical data analytics source proprietary tool application'],"{'data': 2, 'scientist': 1, 'expertise': 1, 'machine': 1, 'learning': 1, 'statistical': 1, 'analytics': 1, 'source': 1, 'proprietary': 1, 'tool': 1, 'application': 1}",-86.86888990000001,35.9250637,5,47187
22,22,22,"Gainesville, FL",[96000.0],['ensure project document consistent project plan project scope budget ensure project performance regular project review'],"{'ensure': 2, 'project': 5, 'document': 1, 'consistent': 1, 'plan': 1, 'scope': 1, 'budget': 1, 'performance': 1, 'regular': 1, 'review': 1}",-82.32482619999998,29.6516344,1,12001
23,23,23,"Broomfield, CO","[108500.0, 150000.0, 73500.0, 70500.0]","['revolutionizing business data science analytics alteryx offer analytics platform empowers data analyst scientist alike', 'revolutionizing business data science analytics alteryx offer analytics platform empowers data analyst scientist alike', 'revolutionizing business data science analytics alteryx offer analytics platform empowers data analyst scientist alike', 'revolutionizing business data science analytics alteryx offer analytics platform empowers data analyst scientist alike']","{'revolutionizing': 4, 'business': 4, 'data': 8, 'science': 4, 'analytics': 8, 'alteryx': 4, 'offer': 4, 'platform': 4, 'empowers': 4, 'analyst': 4, 'scientist': 4, 'alike': 4}",-105.0866504,39.9205411,1,08014
24,24,24,"Santa Fe, NM",[35000.0],['add albuquerque international balloon fiesta los alamo nuclear scientist roswell visitor outer space'],"{'add': 1, 'albuquerque': 1, 'international': 1, 'balloon': 1, 'fiesta': 1, 'los': 1, 'alamo': 1, 'nuclear': 1, 'scientist': 1, 'roswell': 1, 'visitor': 1, 'outer': 1, 'space': 1}",-105.937799,35.686975200000006,665,35049
25,25,25,"Westbrook, ME",[101000.0],['join cross functional team veterinarian scientist analyst data mining modeling transforming data medical business insight'],"{'join': 1, 'cross': 1, 'functional': 1, 'team': 1, 'veterinarian': 1, 'scientist': 1, 'analyst': 1, 'data': 2, 'mining': 1, 'modeling': 1, 'transforming': 1, 'medical': 1, 'business': 1, 'insight': 1}",-70.3711617,43.6770252,1,23005
26,26,26,"Wyandotte, MI",[66500.0],['competitive health insurance plan robust retirement benefit include company matching contribution stop learning'],"{'competitive': 1, 'health': 1, 'insurance': 1, 'plan': 1, 'robust': 1, 'retirement': 1, 'benefit': 1, 'include': 1, 'company': 1, 'matching': 1, 'contribution': 1, 'stop': 1, 'learning': 1}",-83.14992389999998,42.21420639999999,4,26163
