Cities,City Frequency
Austin,12
Dallas,10
Houston,5
Mansfield,2
Mckinney,2
Arlington,2
Richardson,2
Fort Worth,2
Plano,2
Grapevine,1
Missouri City,1
Irving,1
San Antonio,1
