States,Total State Frequency
CA,362
NY,73
TX,43
MA,37
WA,24
IL,23
VA,23
PA,15
NC,15
NJ,14
MD,14
MO,14
FL,13
GA,11
DC,8
NV,8
IN,8
WI,7
CO,7
AZ,6
AL,5
MN,5
MI,5
OH,4
SC,4
UT,4
CT,3
BC,3
TN,3
LA,2
NH,2
KS,2
OR,2
RI,2
ON,1
ME,1
NE,1
AB,1
ID,1
KY,1
