Cities,City Frequency
Austin,12
Dallas,10
Houston,5
Fort Worth,2
Mckinney,2
Richardson,2
Plano,2
Arlington,2
Mansfield,2
Irving,1
Grapevine,1
San Antonio,1
Missouri City,1
